vertex1, vertex2, weight
2548, 2664, 85
2218, 5306, 85
2959, 5970, 85
4632, 5019, 85
323, 2422, 85
1197, 2096, 84
533, 6148, 84
3989, 4398, 84
3363, 5467, 84
875, 5736, 84
274, 2544, 84
3359, 3691, 84
2096, 3187, 84
3712, 5776, 84
1196, 2096, 84
323, 2731, 84
5019, 5228, 84
1196, 3187, 84
2650, 3302, 83
1197, 3187, 83
5516, 6006, 83
2399, 2449, 83
3329, 4366, 83
1196, 1197, 83
3691, 6141, 82
2842, 6273, 82
91, 3750, 82
4155, 6160, 82
1265, 2184, 82
1892, 3994, 82
859, 4978, 82
3889, 3994, 82
3302, 5716, 81
854, 5525, 81
1657, 3023, 81
1299, 6300, 81
1265, 2449, 81
522, 875, 81
2959, 4088, 81
4087, 4155, 81
505, 1265, 81
2658, 2842, 80
2397, 4395, 80
2040, 4395, 80
3363, 6306, 80
1265, 2728, 80
2399, 3805, 80
188, 2664, 80
859, 3035, 80
2399, 5716, 80
3829, 5716, 79
859, 4607, 79
649, 4661, 79
3329, 6306, 79
2689, 5021, 79
2397, 3495, 79
2449, 2664, 79
859, 6306, 78
5306, 6148, 78
403, 5525, 78
2430, 3986, 78
274, 4398, 78
1127, 3363, 78
2397, 4726, 78
859, 1657, 78
1265, 3594, 78
3994, 5294, 78
854, 4366, 78
1739, 5736, 78
3136, 5306, 78
3495, 4289, 77
5308, 6166, 77
1127, 2040, 77
340, 3950, 77
5978, 6313, 77
491, 2664, 77
3359, 5540, 77
2548, 2650, 77
4632, 5644, 76
5716, 6306, 76
859, 4754, 76
5046, 6313, 76
2731, 5736, 76
2449, 2971, 76
649, 5146, 76
649, 5525, 76
4441, 6066, 76
522, 6148, 76
3329, 5467, 76
3055, 5165, 75
5306, 6066, 75
3989, 4860, 75
1289, 5002, 75
2203, 2959, 75
133, 4726, 75
2658, 6273, 75
5228, 5644, 75
4087, 5732, 75
4898, 5310, 75
154, 3712, 75
1127, 2603, 75
3949, 3994, 74
3055, 6216, 74
274, 4860, 74
5970, 6166, 74
4289, 4366, 74
2664, 3712, 74
5310, 5978, 74
522, 5046, 74
2422, 3245, 74
4398, 4860, 74
4289, 5467, 74
5644, 6343, 74
340, 4366, 74
3329, 5002, 73
859, 1265, 73
154, 5716, 73
3035, 4759, 73
545, 1265, 73
991, 3055, 73
4704, 5732, 73
4632, 6343, 73
403, 2971, 73
5540, 5762, 73
5146, 5762, 73
4366, 4395, 73
4045, 6072, 73
2397, 2603, 73
5121, 5716, 73
4088, 4155, 72
2582, 3055, 72
5736, 6072, 72
1265, 3233, 72
854, 1289, 72
133, 2397, 72
1289, 3363, 72
154, 5046, 72
154, 3805, 72
403, 2397, 72
991, 5165, 72
2603, 4726, 72
4860, 5013, 72
2548, 5736, 72
2399, 5978, 72
1127, 6300, 72
4087, 4704, 72
2040, 2603, 72
337, 1535, 71
2548, 6306, 71
859, 1347, 71
340, 6216, 71
1602, 5306, 71
1289, 5716, 71
1289, 3329, 71
859, 2558, 71
859, 5388, 71
2664, 5516, 71
500, 5467, 71
2203, 4704, 71
2959, 5354, 71
2959, 6160, 71
1602, 5121, 70
3363, 4726, 70
2731, 5099, 70
5021, 6402, 70
2430, 2548, 70
854, 3495, 70
2031, 5121, 70
4289, 6306, 70
5516, 6148, 70
1383, 6306, 70
522, 6066, 70
505, 3233, 70
1385, 2016, 70
500, 3495, 70
2548, 6148, 70
403, 4289, 69
2582, 5165, 69
2184, 3233, 69
2548, 6066, 69
4898, 5776, 69
5776, 6148, 69
2557, 5121, 69
4398, 5013, 69
2449, 5046, 69
3135, 4088, 69
5467, 5716, 69
3601, 4240, 69
2603, 4289, 69
2557, 3829, 69
2397, 4366, 69
2959, 2960, 69
2728, 3233, 69
3231, 3601, 68
1265, 5874, 68
1289, 2557, 68
2650, 3594, 68
116, 1602, 68
859, 920, 68
854, 3360, 68
4731, 5401, 68
3212, 5306, 68
491, 6066, 68
133, 2040, 68
3055, 5583, 67
3889, 5294, 67
2399, 2557, 67
403, 5716, 67
5716, 6313, 67
875, 2399, 67
4898, 5306, 67
4087, 4088, 67
3188, 4366, 67
2799, 4045, 67
5165, 6216, 67
859, 1602, 67
867, 4240, 67
154, 2650, 67
3712, 4898, 67
2557, 6306, 67
991, 2582, 67
2603, 4395, 66
4088, 6166, 66
1892, 3889, 66
491, 6148, 66
2430, 3956, 66
2971, 4454, 66
133, 4289, 66
2582, 6216, 66
991, 6216, 66
1818, 6072, 66
340, 5165, 66
2548, 5121, 66
859, 1289, 66
5146, 5540, 66
1299, 5002, 66
5165, 5583, 66
1383, 4726, 66
1569, 5516, 66
4707, 5306, 66
4704, 5970, 66
2582, 5583, 66
2548, 4898, 65
500, 4366, 65
874, 3035, 65
875, 2449, 65
2664, 3419, 65
274, 5013, 65
1535, 4759, 65
3989, 5013, 65
3359, 6141, 65
3066, 3994, 65
5388, 6066, 65
340, 991, 65
3233, 3594, 65
875, 5388, 65
859, 1582, 65
6072, 6084, 65
2506, 6072, 65
403, 2399, 65
133, 5525, 65
1602, 6297, 64
1347, 2557, 64
3530, 4650, 64
3805, 5121, 64
3889, 5516, 64
4978, 6066, 64
4087, 5354, 64
2016, 3023, 64
2548, 3122, 64
500, 2603, 64
91, 1989, 64
2558, 5516, 63
875, 6066, 63
4632, 5228, 63
991, 4197, 63
2449, 6313, 63
2399, 2548, 63
3279, 5306, 63
4366, 5716, 63
5467, 5525, 63
154, 1265, 63
491, 4898, 63
1273, 5306, 63
5583, 6216, 63
2958, 5306, 63
991, 5583, 63
3055, 4197, 63
5306, 6306, 63
3889, 3949, 62
2399, 2650, 62
867, 3231, 62
875, 4898, 62
5388, 6148, 62
3360, 3691, 62
4454, 6313, 62
1892, 3949, 62
2664, 5310, 62
1602, 4898, 62
4839, 5306, 62
5516, 5736, 62
2449, 5768, 62
2496, 5306, 62
1892, 5294, 62
1127, 4289, 62
4441, 5046, 62
340, 2582, 62
3360, 6300, 62
1383, 4395, 61
2650, 6313, 61
854, 4661, 61
2650, 5121, 61
859, 1503, 61
340, 3329, 61
2960, 5306, 61
1347, 5716, 61
859, 4366, 61
3302, 3805, 61
4898, 5388, 61
759, 859, 61
5228, 6343, 61
545, 5736, 61
2548, 5046, 61
4197, 5165, 61
2603, 5525, 61
3757, 6066, 60
2069, 3986, 60
3031, 3035, 60
1602, 2430, 60
672, 4860, 60
3329, 6300, 60
403, 854, 60
403, 3757, 60
2557, 5467, 60
3765, 4935, 60
403, 3805, 60
2557, 4366, 60
3712, 6066, 60
3231, 4240, 59
2664, 5159, 59
154, 2557, 59
5046, 5516, 59
133, 3950, 59
3279, 4155, 59
5099, 6072, 59
1582, 5516, 59
340, 5583, 59
2971, 5046, 59
545, 2971, 59
154, 5978, 59
3360, 5540, 59
5002, 6300, 59
5525, 6306, 59
649, 1551, 59
491, 859, 59
3765, 4318, 59
824, 2842, 59
1602, 4685, 59
4898, 5516, 59
2399, 2666, 58
859, 1892, 58
3757, 4898, 58
1347, 2650, 58
2218, 2959, 58
1613, 1629, 58
5046, 5306, 58
3949, 5294, 58
649, 3691, 58
2664, 3035, 58
2557, 6275, 58
2548, 4438, 58
1602, 6066, 58
2506, 2731, 58
3233, 5874, 58
1289, 3805, 58
3986, 5516, 58
2731, 4045, 57
2664, 3334, 57
403, 2557, 57
854, 1299, 57
2096, 4322, 57
1383, 3250, 57
5306, 5358, 57
1383, 5467, 57
3950, 6300, 57
859, 5467, 57
323, 6072, 57
2399, 5306, 57
5525, 5540, 57
505, 5716, 57
672, 4398, 57
5516, 6066, 57
859, 3757, 57
403, 4454, 57
1551, 5762, 57
3359, 3360, 57
4366, 6300, 56
2811, 3918, 56
3135, 4087, 56
172, 1289, 56
3188, 5467, 56
5776, 6066, 56
3208, 4898, 56
859, 5776, 56
859, 5978, 56
1196, 4322, 56
2582, 4197, 56
921, 1805, 56
3187, 4322, 56
2184, 5716, 56
4318, 4935, 56
1197, 4322, 56
403, 500, 56
1818, 2731, 55
2203, 6166, 55
340, 4197, 55
3055, 5467, 55
2449, 4978, 55
859, 5768, 55
1127, 1383, 55
3134, 3347, 55
1265, 4898, 55
403, 3986, 55
1602, 5716, 55
172, 3495, 55
3055, 4395, 55
1299, 3691, 55
854, 3363, 55
4197, 6216, 55
505, 2557, 55
5034, 5762, 55
1959, 6306, 55
533, 2971, 55
2557, 6313, 54
3363, 3950, 54
812, 2664, 54
854, 2603, 54
649, 5034, 54
1959, 5467, 54
859, 1127, 54
2731, 6084, 54
3250, 4726, 54
4441, 6313, 54
3470, 5467, 54
3712, 6148, 54
403, 2650, 54
522, 5736, 54
500, 1289, 54
4441, 4978, 54
522, 2971, 54
859, 4228, 54
2449, 4441, 54
854, 5146, 54
424, 4935, 54
859, 5121, 54
3250, 4395, 54
3208, 6313, 54
3805, 6275, 54
5306, 6019, 54
188, 2666, 54
921, 2016, 53
854, 4726, 53
403, 2069, 53
522, 2399, 53
154, 5516, 53
1347, 2664, 53
2031, 3805, 53
2731, 3245, 53
2040, 3055, 53
1289, 2548, 53
2354, 5716, 53
1571, 1602, 53
1127, 5716, 53
3066, 3949, 53
2031, 5716, 53
545, 4220, 53
875, 2971, 53
2959, 3136, 53
2184, 2557, 53
5046, 6306, 53
3805, 6306, 53
6297, 6316, 53
595, 4427, 52
3805, 4366, 52
1299, 3950, 52
3135, 3136, 52
2399, 4318, 52
4661, 5540, 52
1347, 3805, 52
5525, 5762, 52
3691, 5762, 52
359, 1602, 52
500, 2040, 52
2218, 6166, 52
3625, 5306, 52
133, 859, 52
2548, 3031, 52
5467, 6300, 52
824, 6273, 52
2096, 4325, 52
3066, 3889, 52
1602, 2664, 52
2728, 5716, 52
5716, 5931, 51
2354, 2650, 51
5121, 5516, 51
2544, 5616, 51
533, 6313, 51
4197, 5583, 51
3805, 5467, 51
4289, 4726, 51
4366, 5540, 51
4454, 5716, 51
424, 3765, 51
3250, 6306, 51
1613, 5992, 51
3035, 6148, 51
859, 3712, 51
1289, 3055, 51
2184, 3805, 51
2354, 2557, 51
2040, 3950, 51
1289, 5306, 51
2031, 2557, 51
2397, 6300, 51
403, 3363, 51
2650, 6306, 51
2397, 5485, 51
4228, 6148, 51
5978, 6148, 51
491, 6313, 51
403, 5306, 51
3805, 6313, 50
1629, 5992, 50
3757, 5736, 50
522, 5516, 50
5013, 5250, 50
2664, 3008, 50
505, 3805, 50
403, 1602, 50
1602, 2557, 50
1347, 2148, 50
522, 2664, 50
1197, 4325, 50
1347, 2959, 50
1383, 2397, 50
1299, 3359, 50
2399, 3035, 50
5716, 5874, 50
3187, 4325, 50
1196, 4325, 50
505, 3544, 50
3470, 6306, 50
2449, 2603, 50
6300, 6306, 50
2664, 3757, 50
4322, 4325, 49
1892, 4898, 49
545, 6313, 49
2399, 5310, 49
2544, 4210, 49
133, 500, 49
1498, 2544, 49
3363, 3691, 49
133, 2449, 49
1347, 5970, 49
3363, 3495, 49
3188, 6306, 49
1289, 3188, 49
1127, 3359, 49
533, 5716, 49
154, 2548, 49
859, 2603, 49
854, 1551, 49
2184, 3544, 49
5306, 6099, 49
1127, 2557, 49
155, 5716, 49
3035, 5736, 49
403, 3950, 49
3495, 5716, 49
2399, 5516, 49
2650, 6275, 49
2557, 2728, 49
4441, 5736, 48
854, 2726, 48
1887, 5164, 48
3066, 5294, 48
533, 4454, 48
2557, 2603, 48
533, 3305, 48
133, 5716, 48
859, 4726, 48
2650, 5931, 48
3359, 5002, 48
154, 3035, 48
403, 649, 48
3363, 6300, 48
340, 3495, 48
505, 2650, 48
2003, 5019, 48
3470, 4726, 48
4289, 5485, 48
1805, 6066, 48
2728, 3544, 48
1892, 6066, 48
1602, 3805, 48
133, 2557, 48
1551, 5525, 48
2728, 3805, 48
3055, 3307, 47
2603, 5716, 47
2184, 2650, 47
3805, 3829, 47
508, 6166, 47
2031, 2650, 47
3359, 3363, 47
2811, 6166, 47
4155, 5354, 47
3233, 4454, 47
5034, 5525, 47
522, 1265, 47
1127, 3470, 47
1127, 1299, 47
2958, 2959, 47
2557, 5931, 47
3015, 3765, 47
672, 3989, 47
3188, 3950, 47
859, 3984, 47
2650, 5467, 47
5467, 5540, 47
5978, 6066, 47
1127, 3188, 47
154, 491, 47
649, 3495, 47
3359, 5467, 47
3250, 5467, 47
859, 3066, 47
3135, 6160, 47
4090, 5306, 47
1602, 2650, 47
1299, 3329, 46
2971, 5306, 46
1289, 4454, 46
5034, 5146, 46
3015, 4935, 46
522, 1587, 46
2534, 5573, 46
1289, 2650, 46
1959, 3495, 46
2557, 3495, 46
5306, 5516, 46
3544, 3594, 46
6066, 6306, 46
2399, 4935, 46
2399, 4228, 46
3055, 4726, 46
424, 4318, 46
1908, 3765, 46
1273, 6166, 46
1805, 2016, 46
2397, 3250, 46
2031, 3995, 46
403, 3055, 46
2650, 3829, 46
1587, 5046, 46
154, 5306, 46
3805, 5931, 46
2016, 5159, 45
4239, 5467, 45
2040, 5525, 45
1289, 4898, 45
522, 4898, 45
2423, 5736, 45
2422, 6072, 45
3805, 5874, 45
672, 5013, 45
4661, 5525, 45
155, 2557, 45
1289, 4239, 45
2614, 4978, 45
854, 1127, 45
4210, 4860, 45
5768, 6066, 45
2811, 2959, 45
4704, 4707, 45
672, 4210, 45
1127, 5306, 45
1739, 4045, 45
3363, 5002, 45
4441, 4898, 45
545, 5046, 45
4239, 6306, 45
859, 3495, 45
274, 5250, 45
522, 6313, 45
854, 5034, 45
340, 403, 45
1165, 4289, 45
155, 2650, 45
2603, 3363, 45
5760, 6341, 45
2557, 5874, 45
1347, 3917, 45
2603, 4898, 45
1265, 2399, 45
1127, 3231, 45
3950, 4395, 45
3055, 3495, 45
2548, 5467, 45
2548, 6313, 45
2273, 2544, 45
649, 1289, 45
323, 2799, 44
284, 4427, 44
3233, 5716, 44
4726, 5716, 44
3805, 4454, 44
1077, 3986, 44
274, 672, 44
875, 5516, 44
500, 6306, 44
1381, 3950, 44
340, 3307, 44
133, 5280, 44
5732, 6160, 44
2548, 4366, 44
3950, 4239, 44
545, 3918, 44
2971, 3805, 44
1347, 6066, 44
2544, 6306, 44
2273, 4860, 44
284, 595, 44
3917, 3918, 44
403, 533, 44
1805, 2664, 44
1582, 5306, 44
522, 4978, 44
500, 4726, 44
4441, 5716, 44
1265, 2664, 44
533, 2557, 44
3836, 4289, 44
767, 6341, 44
5013, 5616, 44
2650, 2728, 44
533, 545, 44
2557, 4726, 44
1299, 3601, 44
133, 4898, 44
2016, 5716, 44
875, 2664, 43
4252, 6341, 43
2449, 2548, 43
2399, 3765, 43
854, 2040, 43
133, 854, 43
3544, 5874, 43
2650, 4366, 43
649, 6300, 43
2664, 4441, 43
2148, 3918, 43
5716, 6275, 43
1127, 4239, 43
3307, 5583, 43
1739, 3245, 43
5306, 6225, 43
3307, 5165, 43
403, 2548, 43
4289, 4395, 43
500, 4395, 43
2650, 3495, 43
3601, 6235, 43
4978, 5736, 43
595, 3868, 43
875, 6313, 43
3359, 3950, 43
2449, 5516, 43
4415, 5306, 43
3950, 6235, 43
339, 5306, 43
1299, 6141, 42
154, 4441, 42
533, 5516, 42
3470, 5002, 42
3055, 4366, 42
1892, 2664, 42
3530, 5121, 42
5306, 5467, 42
4088, 4090, 42
545, 2603, 42
3307, 6216, 42
3470, 3950, 42
403, 2449, 42
5736, 5776, 42
3136, 4155, 42
3329, 3601, 42
1265, 6148, 42
1299, 3360, 42
5146, 5525, 42
576, 5525, 42
172, 2603, 42
2603, 4454, 42
424, 2399, 42
4704, 5354, 42
4898, 5574, 42
2184, 4454, 42
767, 4252, 42
4978, 5046, 42
2664, 5121, 42
867, 6235, 42
4704, 6160, 42
2040, 5002, 42
1718, 5306, 42
4252, 5760, 42
133, 3757, 42
3868, 4726, 42
1805, 6148, 42
859, 1587, 42
1908, 4318, 42
154, 522, 42
767, 5760, 42
1959, 4366, 42
3015, 4318, 42
505, 4454, 42
337, 4438, 42
2959, 5308, 42
2040, 3470, 42
2354, 3805, 42
5310, 6313, 42
1739, 1818, 42
1908, 4935, 42
5046, 5467, 42
3360, 6141, 41
3601, 5504, 41
582, 2123, 41
859, 2958, 41
522, 545, 41
2650, 2971, 41
4228, 6066, 41
2726, 6300, 41
1594, 6166, 41
2397, 3836, 41
1467, 3868, 41
2430, 5516, 41
6306, 6313, 41
2603, 3757, 41
4366, 4898, 41
4704, 5308, 41
133, 545, 41
2960, 4704, 41
3989, 5250, 41
854, 5002, 41
649, 5164, 41
3440, 6066, 41
323, 1739, 41
4661, 6300, 41
5354, 6166, 41
4860, 6306, 41
5467, 6066, 41
1739, 2506, 41
3950, 5504, 41
2399, 5942, 41
4366, 5306, 41
154, 4228, 41
2728, 4454, 41
2582, 3307, 41
5388, 5736, 41
533, 3805, 41
5485, 6300, 41
1602, 5736, 41
1892, 6313, 41
2664, 4228, 41
1634, 5705, 41
1347, 5736, 41
4261, 6140, 41
3636, 5525, 41
867, 5504, 41
4860, 5616, 41
5121, 6066, 41
1127, 2548, 41
4240, 6235, 40
859, 3994, 40
1289, 6066, 40
3625, 6166, 40
4898, 5121, 40
1289, 5736, 40
5524, 6306, 40
4726, 5524, 40
3691, 4366, 40
3208, 5978, 40
403, 5516, 40
1265, 3296, 40
3889, 5110, 40
1739, 5099, 40
2558, 5830, 40
545, 5306, 40
1535, 3035, 40
2052, 6140, 40
3035, 4898, 40
337, 3122, 40
3329, 4726, 40
859, 4650, 40
2496, 6166, 40
1077, 2548, 40
3495, 4898, 40
1551, 5146, 40
2811, 4415, 40
1582, 2664, 40
4366, 5525, 40
1599, 2592, 40
2693, 5308, 40
3233, 3805, 40
5467, 5524, 40
672, 1498, 40
2557, 4454, 40
3363, 6141, 40
3329, 4289, 40
545, 5716, 40
2016, 3805, 40
1551, 5540, 40
284, 3868, 40
2449, 2557, 40
4898, 6306, 40
1892, 5736, 40
991, 3307, 40
3504, 5046, 40
3757, 4441, 40
2726, 3691, 40
1299, 5540, 39
3359, 4366, 39
3208, 5310, 39
403, 5778, 39
2726, 5540, 39
133, 649, 39
545, 4978, 39
2557, 3233, 39
403, 545, 39
2614, 3388, 39
3949, 5110, 39
3388, 4978, 39
649, 6141, 39
5736, 5768, 39
424, 1908, 39
1959, 4289, 39
133, 2650, 39
154, 875, 39
4978, 5707, 39
1599, 6228, 39
3553, 5309, 39
3440, 4898, 39
1582, 5736, 39
875, 3805, 39
2933, 5306, 39
2397, 3950, 39
2430, 2438, 39
2603, 2650, 39
1289, 5046, 39
5002, 5504, 39
649, 2603, 39
3836, 5485, 39
1265, 2971, 39
3359, 6306, 39
3066, 4898, 39
2449, 2650, 39
3296, 4454, 39
1127, 1959, 39
4908, 5306, 39
533, 2650, 39
5046, 5388, 39
3994, 5306, 39
4366, 5736, 39
5358, 6166, 39
1077, 1571, 39
2354, 4898, 39
133, 3805, 39
5306, 6313, 39
5912, 6306, 38
1289, 6148, 38
4805, 6306, 38
5002, 6283, 38
4441, 6148, 38
2650, 5874, 38
3986, 6316, 38
1602, 6148, 38
2959, 4707, 38
1739, 6084, 38
5002, 6235, 38
2016, 4246, 38
3836, 6300, 38
3231, 6235, 38
4090, 6166, 38
1535, 4438, 38
4088, 4704, 38
2603, 5280, 38
3302, 4650, 38
1385, 1657, 38
2650, 3233, 38
1613, 2352, 38
1569, 6006, 38
1188, 3188, 38
1347, 2548, 38
3066, 5736, 38
2544, 6241, 38
4289, 6300, 38
3136, 4704, 38
4228, 5736, 38
403, 1347, 38
2726, 3359, 38
921, 4607, 38
1892, 5110, 38
4366, 6148, 38
3363, 5540, 38
2603, 6066, 38
3495, 3805, 38
3470, 4366, 38
2592, 6228, 38
1127, 5524, 38
649, 1887, 38
